product,animal,time_of_day,storage,days_since,density,fat,snf,size,condition,type,purity,moisture,name,ripeness,color,quantity,freshness,grade
honey,,,refrigerated,260,0.0,0.0,0.0,,,light,85,17,,,,74.0,,C
honey,,,refrigerated,346,0.0,0.0,0.0,,,light,85,17,,,,65.4,,C
honey,,,refrigerated,331,0.0,0.0,0.0,,,dark,80,20,,,,66.9,,C
honey,,,refrigerated,339,0.0,0.0,0.0,,,dark,80,20,,,,66.1,,C
fruits,,,refrigerated,7,0.0,0.0,0.0,medium,,,,,watermelon,medium,red,2.0,30.0,C
milk,buffalo,evening,room,5,1.04,6.5,9.0,,,,,,,,,25.0,,C
fruits,,,refrigerated,7,0.0,0.0,0.0,small,,,,,kiwi,soft,green,16.0,30.0,C
vegetables,,,room,0,0.0,0.0,0.0,large,,,,,radish,hard,green,23.0,100.0,A
milk,goat,morning,refrigerated,6,1.032,4.5,8.0,,,,,,,,,10.0,,C
milk,buffalo,morning,refrigerated,6,1.04,6.5,9.0,,,,,,,,,10.0,,C
vegetables,,,room,1,0.0,0.0,0.0,small,,,,,spinach,hard,yellow,40.0,90.0,A
eggs,,,room,7,0.0,0.0,0.0,small,dirty,,,,,,,51.0,,C
milk,buffalo,morning,refrigerated,2,1.04,6.5,9.0,,,,,,,,,70.0,,C
honey,,,refrigerated,43,0.0,0.0,0.0,,,light,85,17,,,,95.7,,C
honey,,,refrigerated,89,0.0,0.0,0.0,,,dark,80,20,,,,91.1,,C
vegetables,,,room,4,0.0,0.0,0.0,large,,,,,radish,medium,red,15.0,60.0,B
milk,cow,evening,refrigerated,5,1.03,3.5,8.5,,,,,,,,,25.0,,C
eggs,,,room,1,0.0,0.0,0.0,medium,clean,,,,,,,93.0,,C
vegetables,,,room,6,0.0,0.0,0.0,medium,,,,,radish,soft,green,24.0,40.0,C
honey,,,refrigerated,198,0.0,0.0,0.0,,,dark,80,20,,,,80.2,,C
honey,,,refrigerated,105,0.0,0.0,0.0,,,light,85,17,,,,89.5,,C
honey,,,room,124,0.0,0.0,0.0,,,dark,80,20,,,,87.6,,C
fruits,,,room,4,0.0,0.0,0.0,medium,,,,,banana,hard,red,2.0,60.0,B
eggs,,,refrigerated,11,0.0,0.0,0.0,small,dirty,,,,,,,23.0,,C
eggs,,,refrigerated,10,0.0,0.0,0.0,large,clean,,,,,,,30.0,,C
eggs,,,room,6,0.0,0.0,0.0,medium,dirty,,,,,,,58.0,,C
honey,,,room,142,0.0,0.0,0.0,,,dark,80,20,,,,85.8,,C
fruits,,,room,2,0.0,0.0,0.0,large,,,,,apple,medium,red,21.0,80.0,A
fruits,,,room,1,0.0,0.0,0.0,small,,,,,strawberry,hard,yellow,26.0,90.0,A
vegetables,,,refrigerated,2,0.0,0.0,0.0,medium,,,,,pepper,medium,green,13.0,80.0,A
milk,cow,evening,refrigerated,5,1.03,3.5,8.5,,,,,,,,,25.0,,C
fruits,,,refrigerated,4,0.0,0.0,0.0,medium,,,,,guava,medium,red,30.0,60.0,B
eggs,,,refrigerated,3,0.0,0.0,0.0,large,dirty,,,,,,,79.0,,C
fruits,,,refrigerated,2,0.0,0.0,0.0,large,,,,,strawberry,soft,red,41.0,80.0,A
milk,buffalo,evening,room,7,1.04,6.5,9.0,,,,,,,,,0.0,,C
fruits,,,refrigerated,1,0.0,0.0,0.0,small,,,,,papaya,soft,red,42.0,90.0,A
fruits,,,refrigerated,2,0.0,0.0,0.0,medium,,,,,kiwi,medium,red,13.0,80.0,A
eggs,,,refrigerated,1,0.0,0.0,0.0,small,clean,,,,,,,93.0,,C
fruits,,,room,1,0.0,0.0,0.0,large,,,,,grapes,hard,green,34.0,90.0,A
vegetables,,,room,4,0.0,0.0,0.0,medium,,,,,cauliflower,medium,green,4.0,60.0,B
fruits,,,room,2,0.0,0.0,0.0,small,,,,,pear,soft,red,10.0,80.0,A
vegetables,,,room,6,0.0,0.0,0.0,small,,,,,tomato,medium,green,19.0,40.0,C
honey,,,room,357,0.0,0.0,0.0,,,dark,80,20,,,,64.3,,C
vegetables,,,room,1,0.0,0.0,0.0,large,,,,,pepper,soft,red,43.0,90.0,A
eggs,,,refrigerated,0,0.0,0.0,0.0,small,clean,,,,,,,100.0,,C
milk,cow,morning,refrigerated,3,1.03,3.5,8.5,,,,,,,,,55.0,,C
eggs,,,room,9,0.0,0.0,0.0,medium,dirty,,,,,,,37.0,,C
honey,,,refrigerated,108,0.0,0.0,0.0,,,light,85,17,,,,89.2,,C
vegetables,,,room,1,0.0,0.0,0.0,large,,,,,onion,hard,red,10.0,90.0,A
eggs,,,refrigerated,11,0.0,0.0,0.0,large,dirty,,,,,,,23.0,,C
eggs,,,refrigerated,3,0.0,0.0,0.0,medium,dirty,,,,,,,79.0,,C
honey,,,refrigerated,292,0.0,0.0,0.0,,,dark,80,20,,,,70.8,,C
honey,,,refrigerated,216,0.0,0.0,0.0,,,light,85,17,,,,78.4,,C
honey,,,refrigerated,334,0.0,0.0,0.0,,,dark,80,20,,,,66.6,,C
honey,,,refrigerated,4,0.0,0.0,0.0,,,light,85,17,,,,99.6,,C
milk,cow,morning,room,5,1.03,3.5,8.5,,,,,,,,,25.0,,C
fruits,,,room,6,0.0,0.0,0.0,small,,,,,mango,soft,yellow,10.0,40.0,C
vegetables,,,room,7,0.0,0.0,0.0,medium,,,,,beetroot,hard,green,18.0,30.0,C
vegetables,,,room,0,0.0,0.0,0.0,medium,,,,,carrot,medium,green,10.0,100.0,A
honey,,,refrigerated,270,0.0,0.0,0.0,,,light,85,17,,,,73.0,,C
eggs,,,room,4,0.0,0.0,0.0,large,clean,,,,,,,72.0,,C
honey,,,refrigerated,58,0.0,0.0,0.0,,,dark,80,20,,,,94.2,,C
vegetables,,,room,4,0.0,0.0,0.0,small,,,,,beetroot,medium,green,32.0,60.0,B
vegetables,,,room,4,0.0,0.0,0.0,medium,,,,,lettuce,medium,green,1.0,60.0,B
vegetables,,,refrigerated,0,0.0,0.0,0.0,large,,,,,lettuce,hard,yellow,28.0,100.0,A
milk,buffalo,evening,room,3,1.04,6.5,9.0,,,,,,,,,55.0,,C
eggs,,,room,2,0.0,0.0,0.0,large,clean,,,,,,,86.0,,C
fruits,,,room,0,0.0,0.0,0.0,large,,,,,pineapple,hard,green,37.0,100.0,A
vegetables,,,refrigerated,2,0.0,0.0,0.0,large,,,,,tomato,medium,red,6.0,80.0,A
vegetables,,,refrigerated,5,0.0,0.0,0.0,large,,,,,lettuce,medium,green,31.0,50.0,B
eggs,,,refrigerated,0,0.0,0.0,0.0,small,clean,,,,,,,100.0,,C
milk,cow,evening,refrigerated,0,1.03,3.5,8.5,,,,,,,,,100.0,,C
vegetables,,,refrigerated,5,0.0,0.0,0.0,medium,,,,,cucumber,hard,red,25.0,50.0,B
fruits,,,room,7,0.0,0.0,0.0,small,,,,,strawberry,hard,green,17.0,30.0,C
eggs,,,refrigerated,1,0.0,0.0,0.0,large,clean,,,,,,,93.0,,C
fruits,,,room,6,0.0,0.0,0.0,large,,,,,mango,hard,green,30.0,40.0,C
honey,,,room,76,0.0,0.0,0.0,,,light,85,17,,,,92.4,,C
milk,goat,evening,room,7,1.032,4.5,8.0,,,,,,,,,0.0,,C
honey,,,refrigerated,352,0.0,0.0,0.0,,,light,85,17,,,,64.8,,C
vegetables,,,refrigerated,2,0.0,0.0,0.0,medium,,,,,potato,soft,yellow,20.0,80.0,A
honey,,,room,27,0.0,0.0,0.0,,,dark,80,20,,,,97.3,,C
eggs,,,room,7,0.0,0.0,0.0,large,dirty,,,,,,,51.0,,C
honey,,,room,68,0.0,0.0,0.0,,,dark,80,20,,,,93.2,,C
vegetables,,,refrigerated,4,0.0,0.0,0.0,small,,,,,tomato,medium,red,11.0,60.0,B
eggs,,,room,5,0.0,0.0,0.0,large,clean,,,,,,,65.0,,C
honey,,,refrigerated,147,0.0,0.0,0.0,,,dark,80,20,,,,85.3,,C
eggs,,,refrigerated,11,0.0,0.0,0.0,small,dirty,,,,,,,23.0,,C
milk,buffalo,morning,refrigerated,1,1.04,6.5,9.0,,,,,,,,,85.0,,C
vegetables,,,room,4,0.0,0.0,0.0,small,,,,,cabbage,medium,green,8.0,60.0,B
fruits,,,refrigerated,7,0.0,0.0,0.0,large,,,,,banana,hard,red,34.0,30.0,C
milk,buffalo,evening,room,2,1.04,6.5,9.0,,,,,,,,,70.0,,C
eggs,,,room,8,0.0,0.0,0.0,medium,dirty,,,,,,,44.0,,C
honey,,,refrigerated,198,0.0,0.0,0.0,,,light,85,17,,,,80.2,,C
fruits,,,room,7,0.0,0.0,0.0,medium,,,,,grapes,soft,red,36.0,30.0,C
fruits,,,refrigerated,3,0.0,0.0,0.0,large,,,,,blueberry,hard,red,29.0,70.0,B
vegetables,,,room,7,0.0,0.0,0.0,small,,,,,cauliflower,medium,red,10.0,30.0,C
honey,,,room,36,0.0,0.0,0.0,,,dark,80,20,,,,96.4,,C
fruits,,,room,2,0.0,0.0,0.0,large,,,,,guava,soft,red,7.0,80.0,A
honey,,,room,218,0.0,0.0,0.0,,,dark,80,20,,,,78.2,,C
vegetables,,,refrigerated,4,0.0,0.0,0.0,small,,,,,spinach,soft,red,28.0,60.0,B
vegetables,,,refrigerated,3,0.0,0.0,0.0,small,,,,,lettuce,medium,green,20.0,70.0,B
fruits,,,refrigerated,5,0.0,0.0,0.0,small,,,,,grapes,soft,yellow,9.0,50.0,B
milk,cow,evening,refrigerated,5,1.03,3.5,8.5,,,,,,,,,25.0,,C
honey,,,refrigerated,170,0.0,0.0,0.0,,,dark,80,20,,,,83.0,,C
fruits,,,refrigerated,1,0.0,0.0,0.0,small,,,,,banana,soft,yellow,37.0,90.0,A
milk,goat,evening,room,4,1.032,4.5,8.0,,,,,,,,,40.0,,C
honey,,,refrigerated,246,0.0,0.0,0.0,,,dark,80,20,,,,75.4,,C
fruits,,,refrigerated,7,0.0,0.0,0.0,large,,,,,guava,soft,red,25.0,30.0,C
milk,goat,morning,room,0,1.032,4.5,8.0,,,,,,,,,100.0,,C
vegetables,,,refrigerated,1,0.0,0.0,0.0,small,,,,,onion,soft,yellow,7.0,90.0,A
vegetables,,,refrigerated,2,0.0,0.0,0.0,small,,,,,radish,hard,green,3.0,80.0,A
fruits,,,room,7,0.0,0.0,0.0,small,,,,,orange,soft,yellow,30.0,30.0,C
vegetables,,,refrigerated,1,0.0,0.0,0.0,small,,,,,zucchini,hard,green,33.0,90.0,A
honey,,,room,252,0.0,0.0,0.0,,,light,85,17,,,,74.8,,C
vegetables,,,refrigerated,1,0.0,0.0,0.0,small,,,,,pepper,soft,green,43.0,90.0,A
fruits,,,room,7,0.0,0.0,0.0,small,,,,,mango,soft,red,30.0,30.0,C
honey,,,refrigerated,287,0.0,0.0,0.0,,,light,85,17,,,,71.3,,C
fruits,,,refrigerated,4,0.0,0.0,0.0,large,,,,,mango,hard,red,22.0,60.0,B
milk,goat,evening,room,3,1.032,4.5,8.0,,,,,,,,,55.0,,C
milk,buffalo,evening,room,5,1.04,6.5,9.0,,,,,,,,,25.0,,C
fruits,,,refrigerated,2,0.0,0.0,0.0,small,,,,,pear,hard,green,50.0,80.0,A
honey,,,room,338,0.0,0.0,0.0,,,dark,80,20,,,,66.19999999999999,,C
milk,cow,evening,room,5,1.03,3.5,8.5,,,,,,,,,25.0,,C
vegetables,,,refrigerated,7,0.0,0.0,0.0,small,,,,,cabbage,hard,red,49.0,30.0,C
vegetables,,,refrigerated,6,0.0,0.0,0.0,small,,,,,pepper,medium,green,49.0,40.0,C
fruits,,,refrigerated,7,0.0,0.0,0.0,small,,,,,papaya,medium,green,2.0,30.0,C
milk,cow,evening,refrigerated,4,1.03,3.5,8.5,,,,,,,,,40.0,,C
vegetables,,,room,2,0.0,0.0,0.0,medium,,,,,spinach,hard,red,2.0,80.0,A
milk,goat,morning,refrigerated,5,1.032,4.5,8.0,,,,,,,,,25.0,,C
eggs,,,refrigerated,9,0.0,0.0,0.0,large,dirty,,,,,,,37.0,,C
fruits,,,room,5,0.0,0.0,0.0,small,,,,,pear,soft,yellow,40.0,50.0,B
fruits,,,refrigerated,3,0.0,0.0,0.0,small,,,,,apple,medium,red,18.0,70.0,B
fruits,,,refrigerated,3,0.0,0.0,0.0,small,,,,,guava,hard,yellow,39.0,70.0,B
honey,,,room,359,0.0,0.0,0.0,,,light,85,17,,,,64.1,,C
milk,goat,morning,refrigerated,1,1.032,4.5,8.0,,,,,,,,,85.0,,C
eggs,,,refrigerated,1,0.0,0.0,0.0,small,dirty,,,,,,,93.0,,C
milk,buffalo,evening,refrigerated,5,1.04,6.5,9.0,,,,,,,,,25.0,,C
fruits,,,room,5,0.0,0.0,0.0,small,,,,,pear,medium,yellow,42.0,50.0,B
eggs,,,refrigerated,14,0.0,0.0,0.0,large,dirty,,,,,,,2.0,,C
vegetables,,,room,1,0.0,0.0,0.0,large,,,,,chilli,hard,red,23.0,90.0,A
milk,cow,evening,refrigerated,1,1.03,3.5,8.5,,,,,,,,,85.0,,C
fruits,,,room,5,0.0,0.0,0.0,large,,,,,pear,hard,yellow,19.0,50.0,B
vegetables,,,room,3,0.0,0.0,0.0,medium,,,,,lettuce,soft,yellow,23.0,70.0,B
eggs,,,refrigerated,12,0.0,0.0,0.0,small,clean,,,,,,,16.0,,C
vegetables,,,refrigerated,0,0.0,0.0,0.0,small,,,,,potato,medium,red,15.0,100.0,A
fruits,,,refrigerated,4,0.0,0.0,0.0,medium,,,,,guava,medium,green,15.0,60.0,B
fruits,,,room,0,0.0,0.0,0.0,large,,,,,guava,medium,yellow,17.0,100.0,A
eggs,,,room,12,0.0,0.0,0.0,small,clean,,,,,,,16.0,,C
vegetables,,,room,0,0.0,0.0,0.0,small,,,,,cauliflower,hard,green,12.0,100.0,A
vegetables,,,refrigerated,3,0.0,0.0,0.0,large,,,,,potato,hard,green,2.0,70.0,B
honey,,,refrigerated,208,0.0,0.0,0.0,,,dark,80,20,,,,79.2,,C
vegetables,,,refrigerated,7,0.0,0.0,0.0,large,,,,,beetroot,hard,yellow,39.0,30.0,C
eggs,,,refrigerated,7,0.0,0.0,0.0,small,clean,,,,,,,51.0,,C
milk,cow,evening,refrigerated,3,1.03,3.5,8.5,,,,,,,,,55.0,,C
milk,cow,evening,refrigerated,0,1.03,3.5,8.5,,,,,,,,,100.0,,C
eggs,,,refrigerated,13,0.0,0.0,0.0,large,dirty,,,,,,,9.0,,C
eggs,,,room,11,0.0,0.0,0.0,medium,clean,,,,,,,23.0,,C
eggs,,,room,4,0.0,0.0,0.0,small,dirty,,,,,,,72.0,,C
milk,cow,evening,refrigerated,0,1.03,3.5,8.5,,,,,,,,,100.0,,C
fruits,,,refrigerated,2,0.0,0.0,0.0,large,,,,,guava,medium,yellow,17.0,80.0,A
eggs,,,refrigerated,11,0.0,0.0,0.0,large,dirty,,,,,,,23.0,,C
vegetables,,,room,7,0.0,0.0,0.0,medium,,,,,cabbage,soft,red,6.0,30.0,C
milk,buffalo,morning,refrigerated,5,1.04,6.5,9.0,,,,,,,,,25.0,,C
eggs,,,room,5,0.0,0.0,0.0,small,clean,,,,,,,65.0,,C
vegetables,,,room,3,0.0,0.0,0.0,small,,,,,chilli,medium,red,40.0,70.0,B
eggs,,,refrigerated,1,0.0,0.0,0.0,large,dirty,,,,,,,93.0,,C
vegetables,,,room,4,0.0,0.0,0.0,medium,,,,,chilli,hard,green,6.0,60.0,B
honey,,,refrigerated,160,0.0,0.0,0.0,,,dark,80,20,,,,84.0,,C
milk,cow,morning,refrigerated,5,1.03,3.5,8.5,,,,,,,,,25.0,,C
fruits,,,refrigerated,4,0.0,0.0,0.0,small,,,,,watermelon,hard,red,30.0,60.0,B
eggs,,,refrigerated,0,0.0,0.0,0.0,medium,clean,,,,,,,100.0,,C
eggs,,,room,1,0.0,0.0,0.0,medium,dirty,,,,,,,93.0,,C
eggs,,,refrigerated,12,0.0,0.0,0.0,small,dirty,,,,,,,16.0,,C
vegetables,,,room,1,0.0,0.0,0.0,medium,,,,,radish,hard,red,15.0,90.0,A
eggs,,,refrigerated,0,0.0,0.0,0.0,medium,clean,,,,,,,100.0,,C
eggs,,,room,2,0.0,0.0,0.0,large,clean,,,,,,,86.0,,C
honey,,,refrigerated,347,0.0,0.0,0.0,,,light,85,17,,,,65.3,,C
honey,,,room,192,0.0,0.0,0.0,,,light,85,17,,,,80.8,,C
fruits,,,room,4,0.0,0.0,0.0,large,,,,,pear,hard,green,40.0,60.0,B
vegetables,,,refrigerated,2,0.0,0.0,0.0,large,,,,,carrot,soft,yellow,4.0,80.0,A
fruits,,,room,1,0.0,0.0,0.0,large,,,,,kiwi,soft,red,40.0,90.0,A
honey,,,room,183,0.0,0.0,0.0,,,dark,80,20,,,,81.7,,C
honey,,,room,89,0.0,0.0,0.0,,,light,85,17,,,,91.1,,C
milk,goat,evening,room,6,1.032,4.5,8.0,,,,,,,,,10.0,,C
eggs,,,refrigerated,13,0.0,0.0,0.0,medium,clean,,,,,,,9.0,,C
honey,,,refrigerated,76,0.0,0.0,0.0,,,light,85,17,,,,92.4,,C
milk,buffalo,morning,refrigerated,5,1.04,6.5,9.0,,,,,,,,,25.0,,C
milk,goat,morning,room,0,1.032,4.5,8.0,,,,,,,,,100.0,,C
milk,cow,evening,room,0,1.03,3.5,8.5,,,,,,,,,100.0,,C
vegetables,,,room,1,0.0,0.0,0.0,medium,,,,,tomato,hard,yellow,23.0,90.0,A
fruits,,,refrigerated,0,0.0,0.0,0.0,medium,,,,,apple,hard,green,48.0,100.0,A
fruits,,,room,0,0.0,0.0,0.0,medium,,,,,blueberry,soft,yellow,35.0,100.0,A
fruits,,,room,3,0.0,0.0,0.0,large,,,,,pear,medium,red,35.0,70.0,B
fruits,,,refrigerated,5,0.0,0.0,0.0,large,,,,,orange,hard,yellow,45.0,50.0,B
milk,cow,evening,refrigerated,3,1.03,3.5,8.5,,,,,,,,,55.0,,C
milk,goat,evening,refrigerated,0,1.032,4.5,8.0,,,,,,,,,100.0,,C
eggs,,,room,6,0.0,0.0,0.0,large,clean,,,,,,,58.0,,C
eggs,,,room,7,0.0,0.0,0.0,small,dirty,,,,,,,51.0,,C
vegetables,,,room,5,0.0,0.0,0.0,medium,,,,,tomato,soft,green,23.0,50.0,B
eggs,,,room,13,0.0,0.0,0.0,medium,dirty,,,,,,,9.0,,C
fruits,,,refrigerated,6,0.0,0.0,0.0,medium,,,,,grapes,hard,yellow,5.0,40.0,C
eggs,,,room,13,0.0,0.0,0.0,medium,dirty,,,,,,,9.0,,C
milk,goat,evening,refrigerated,6,1.032,4.5,8.0,,,,,,,,,10.0,,C
milk,goat,morning,refrigerated,7,1.032,4.5,8.0,,,,,,,,,0.0,,C
eggs,,,refrigerated,7,0.0,0.0,0.0,medium,clean,,,,,,,51.0,,C
milk,buffalo,evening,room,0,1.04,6.5,9.0,,,,,,,,,100.0,,C
eggs,,,refrigerated,11,0.0,0.0,0.0,small,clean,,,,,,,23.0,,C
fruits,,,refrigerated,1,0.0,0.0,0.0,medium,,,,,kiwi,hard,yellow,20.0,90.0,A
vegetables,,,room,5,0.0,0.0,0.0,medium,,,,,chilli,medium,yellow,12.0,50.0,B
honey,,,room,78,0.0,0.0,0.0,,,light,85,17,,,,92.2,,C
vegetables,,,room,0,0.0,0.0,0.0,small,,,,,beetroot,soft,yellow,20.0,100.0,A
eggs,,,refrigerated,8,0.0,0.0,0.0,medium,clean,,,,,,,44.0,,C
milk,buffalo,morning,refrigerated,0,1.04,6.5,9.0,,,,,,,,,100.0,,C
eggs,,,room,6,0.0,0.0,0.0,large,dirty,,,,,,,58.0,,C
milk,buffalo,morning,room,6,1.04,6.5,9.0,,,,,,,,,10.0,,C
milk,buffalo,morning,room,6,1.04,6.5,9.0,,,,,,,,,10.0,,C
milk,cow,evening,room,7,1.03,3.5,8.5,,,,,,,,,0.0,,C
milk,buffalo,morning,refrigerated,4,1.04,6.5,9.0,,,,,,,,,40.0,,C
milk,buffalo,evening,room,4,1.04,6.5,9.0,,,,,,,,,40.0,,C
milk,buffalo,morning,refrigerated,0,1.04,6.5,9.0,,,,,,,,,100.0,,C
eggs,,,refrigerated,7,0.0,0.0,0.0,medium,clean,,,,,,,51.0,,C
vegetables,,,room,2,0.0,0.0,0.0,medium,,,,,chilli,hard,yellow,44.0,80.0,A
fruits,,,refrigerated,2,0.0,0.0,0.0,small,,,,,kiwi,medium,green,7.0,80.0,A
vegetables,,,refrigerated,2,0.0,0.0,0.0,large,,,,,pepper,hard,yellow,25.0,80.0,A
fruits,,,refrigerated,4,0.0,0.0,0.0,large,,,,,mango,soft,red,44.0,60.0,B
honey,,,room,198,0.0,0.0,0.0,,,light,85,17,,,,80.2,,C
vegetables,,,refrigerated,5,0.0,0.0,0.0,small,,,,,beetroot,soft,yellow,49.0,50.0,B
honey,,,refrigerated,363,0.0,0.0,0.0,,,light,85,17,,,,63.699999999999996,,C
vegetables,,,room,7,0.0,0.0,0.0,large,,,,,cucumber,hard,yellow,18.0,30.0,C
vegetables,,,refrigerated,5,0.0,0.0,0.0,small,,,,,carrot,hard,red,46.0,50.0,B
milk,buffalo,morning,refrigerated,5,1.04,6.5,9.0,,,,,,,,,25.0,,C
vegetables,,,refrigerated,5,0.0,0.0,0.0,small,,,,,radish,soft,red,49.0,50.0,B
eggs,,,room,9,0.0,0.0,0.0,small,clean,,,,,,,37.0,,C
milk,goat,morning,refrigerated,1,1.032,4.5,8.0,,,,,,,,,85.0,,C
milk,buffalo,morning,refrigerated,5,1.04,6.5,9.0,,,,,,,,,25.0,,C
honey,,,refrigerated,70,0.0,0.0,0.0,,,light,85,17,,,,93.0,,C
milk,cow,morning,room,2,1.03,3.5,8.5,,,,,,,,,70.0,,C
vegetables,,,room,3,0.0,0.0,0.0,large,,,,,chilli,soft,red,40.0,70.0,B
honey,,,refrigerated,59,0.0,0.0,0.0,,,light,85,17,,,,94.1,,C
eggs,,,room,10,0.0,0.0,0.0,medium,clean,,,,,,,30.0,,C
milk,goat,morning,room,7,1.032,4.5,8.0,,,,,,,,,0.0,,C
eggs,,,refrigerated,4,0.0,0.0,0.0,large,clean,,,,,,,72.0,,C
honey,,,refrigerated,52,0.0,0.0,0.0,,,dark,80,20,,,,94.8,,C
vegetables,,,refrigerated,1,0.0,0.0,0.0,small,,,,,broccoli,soft,yellow,18.0,90.0,A
eggs,,,refrigerated,5,0.0,0.0,0.0,large,clean,,,,,,,65.0,,C
milk,buffalo,morning,refrigerated,5,1.04,6.5,9.0,,,,,,,,,25.0,,C
eggs,,,refrigerated,5,0.0,0.0,0.0,medium,dirty,,,,,,,65.0,,C
fruits,,,refrigerated,5,0.0,0.0,0.0,large,,,,,apple,medium,green,48.0,50.0,B
honey,,,room,342,0.0,0.0,0.0,,,dark,80,20,,,,65.8,,C
vegetables,,,refrigerated,3,0.0,0.0,0.0,medium,,,,,zucchini,soft,red,8.0,70.0,B
fruits,,,refrigerated,2,0.0,0.0,0.0,medium,,,,,papaya,soft,yellow,21.0,80.0,A
vegetables,,,room,7,0.0,0.0,0.0,medium,,,,,zucchini,medium,green,28.0,30.0,C
vegetables,,,refrigerated,2,0.0,0.0,0.0,large,,,,,zucchini,soft,red,2.0,80.0,A
vegetables,,,room,0,0.0,0.0,0.0,large,,,,,cauliflower,hard,green,27.0,100.0,A
milk,goat,morning,room,6,1.032,4.5,8.0,,,,,,,,,10.0,,C
vegetables,,,refrigerated,1,0.0,0.0,0.0,large,,,,,zucchini,soft,green,37.0,90.0,A
eggs,,,room,5,0.0,0.0,0.0,large,dirty,,,,,,,65.0,,C
vegetables,,,room,2,0.0,0.0,0.0,medium,,,,,cabbage,hard,red,37.0,80.0,A
milk,cow,morning,refrigerated,2,1.03,3.5,8.5,,,,,,,,,70.0,,C
eggs,,,room,7,0.0,0.0,0.0,medium,clean,,,,,,,51.0,,C
honey,,,refrigerated,20,0.0,0.0,0.0,,,light,85,17,,,,98.0,,C
fruits,,,refrigerated,3,0.0,0.0,0.0,large,,,,,banana,soft,green,50.0,70.0,B
milk,cow,morning,room,0,1.03,3.5,8.5,,,,,,,,,100.0,,C
eggs,,,refrigerated,2,0.0,0.0,0.0,small,clean,,,,,,,86.0,,C
fruits,,,refrigerated,0,0.0,0.0,0.0,medium,,,,,watermelon,soft,green,13.0,100.0,A
milk,cow,evening,refrigerated,2,1.03,3.5,8.5,,,,,,,,,70.0,,C
vegetables,,,room,3,0.0,0.0,0.0,medium,,,,,zucchini,soft,green,7.0,70.0,B
eggs,,,room,11,0.0,0.0,0.0,medium,clean,,,,,,,23.0,,C
vegetables,,,refrigerated,4,0.0,0.0,0.0,large,,,,,broccoli,soft,red,47.0,60.0,B
milk,goat,morning,refrigerated,7,1.032,4.5,8.0,,,,,,,,,0.0,,C
fruits,,,refrigerated,7,0.0,0.0,0.0,medium,,,,,orange,soft,green,37.0,30.0,C
honey,,,room,310,0.0,0.0,0.0,,,dark,80,20,,,,69.0,,C
vegetables,,,room,1,0.0,0.0,0.0,medium,,,,,carrot,medium,red,3.0,90.0,A
eggs,,,room,11,0.0,0.0,0.0,small,clean,,,,,,,23.0,,C
fruits,,,refrigerated,5,0.0,0.0,0.0,large,,,,,apple,medium,red,19.0,50.0,B
vegetables,,,room,6,0.0,0.0,0.0,large,,,,,beetroot,hard,yellow,49.0,40.0,C
milk,cow,evening,refrigerated,1,1.03,3.5,8.5,,,,,,,,,85.0,,C
honey,,,room,322,0.0,0.0,0.0,,,dark,80,20,,,,67.8,,C
fruits,,,room,7,0.0,0.0,0.0,small,,,,,orange,medium,red,8.0,30.0,C
honey,,,room,138,0.0,0.0,0.0,,,dark,80,20,,,,86.2,,C
eggs,,,refrigerated,9,0.0,0.0,0.0,large,dirty,,,,,,,37.0,,C
milk,cow,evening,room,6,1.03,3.5,8.5,,,,,,,,,10.0,,C
vegetables,,,room,6,0.0,0.0,0.0,medium,,,,,cabbage,soft,green,29.0,40.0,C
honey,,,refrigerated,106,0.0,0.0,0.0,,,dark,80,20,,,,89.4,,C
fruits,,,room,3,0.0,0.0,0.0,small,,,,,guava,medium,red,15.0,70.0,B
eggs,,,refrigerated,3,0.0,0.0,0.0,small,clean,,,,,,,79.0,,C
milk,buffalo,evening,refrigerated,5,1.04,6.5,9.0,,,,,,,,,25.0,,C
milk,buffalo,evening,room,1,1.04,6.5,9.0,,,,,,,,,85.0,,C
milk,cow,morning,room,0,1.03,3.5,8.5,,,,,,,,,100.0,,C
vegetables,,,refrigerated,7,0.0,0.0,0.0,small,,,,,pepper,medium,yellow,42.0,30.0,C
honey,,,room,115,0.0,0.0,0.0,,,dark,80,20,,,,88.5,,C
eggs,,,room,0,0.0,0.0,0.0,small,clean,,,,,,,100.0,,C
eggs,,,room,11,0.0,0.0,0.0,large,clean,,,,,,,23.0,,C
fruits,,,room,3,0.0,0.0,0.0,large,,,,,orange,medium,red,33.0,70.0,B
eggs,,,refrigerated,12,0.0,0.0,0.0,medium,dirty,,,,,,,16.0,,C
eggs,,,refrigerated,0,0.0,0.0,0.0,small,dirty,,,,,,,100.0,,C
eggs,,,refrigerated,8,0.0,0.0,0.0,small,dirty,,,,,,,44.0,,C
vegetables,,,room,5,0.0,0.0,0.0,large,,,,,tomato,soft,red,1.0,50.0,B
eggs,,,refrigerated,7,0.0,0.0,0.0,small,dirty,,,,,,,51.0,,C
eggs,,,room,7,0.0,0.0,0.0,small,dirty,,,,,,,51.0,,C
milk,buffalo,evening,refrigerated,0,1.04,6.5,9.0,,,,,,,,,100.0,,C
honey,,,refrigerated,143,0.0,0.0,0.0,,,dark,80,20,,,,85.7,,C
honey,,,refrigerated,161,0.0,0.0,0.0,,,dark,80,20,,,,83.9,,C
honey,,,refrigerated,90,0.0,0.0,0.0,,,light,85,17,,,,91.0,,C
